barcode,product_name,brands,category,latest_price,price_per_100g,energy_kcal_100g,sugars_100g,fat_100g,salt_100g,nutriscore_numeric,nutriscore_grade
3228857001101,Beau & bon pain de mie complet lin tournesol 320g,Harrys,bread,2.5,0.78125,303.0,3.5,9.0,0.9,,a
13764027053,Organic Bread 21 Whole Grains and Seeds,Dave's Killer Bread,bread,8.79,1.1490196078431372,244.0,8.89,3.33,0.944,,a
3760049798869,Pain de mie Bio grandes tranches complet sans sucres ajoutés 500g,La Boulangère,bread,2.79,0.558,252.0,1.9,5.1,0.99,,a
3760049798845,Pain de mie grandes tranches Avoine & Graines 500g,La BOULANGÈRE,bread,2.15,0.43,274.0,2.2,9.1,0.93,,a
3182180002436,Pain Grillé l'Original,BRIOCHE PASQUIER,bread,2.44,0.5879518072289156,388.0,4.1,3.5,1.3,,c
8008698005576,Maestro Classic,Schär,bread,4.06,1.3533333333333333,232.0,3.2,3.6,0.98,,a
3392460481114,Biscottes Pleine vie Sans sel ajouté,"Heudebert, Lu, Mondelez",bread,1.88,0.6266666666666666,407.0,4.8,6.1,0.01,,c
3228850000262,Pain AMS 7 céréales,Harrys,bread,1.23,0.22363636363636363,282.0,5.0,6.8,1.13,,b
20511296,Wholemeal Seeded Farmhouse Loaf,Deluxe,bread,1.09,0.13625,262.0,2.13,7.87,0.984,,a
20006174,Tartines craquantes Froment,Maître Jean Pierre,bread,1.05,0.42000000000000004,385.0,3.5,23.4,1.19,,c
8008698011065,Gluten free,Schar,bread,4.31,1.2314285714285713,262.0,0.9,9.2,1.0,,b
7622210416667,Pain grillé Pelletier,"LU, Pelletier",bread,2.17,0.434,389.0,2.5,4.8,1.8,,d
3228857000838,American Sandwich Nature,Harrys,bread,1.3,0.23636363636363636,271.0,7.7,4.1,1.1,,c
3760049798890,Pain au lait bio x12 420g,la boulangère,bread,3.02,0.719047619047619,345.0,8.7,11.0,0.9,,d
3228857000913,Pain de mie nature,Harrys,bread,2.11,0.3246153846153846,266.0,7.7,4.3,1.1,,c
3228857001118,Pain 100% mie nature sans sucre ajouté,Harrys,bread,2.65,0.53,262.0,5.6,5.0,1.0,,c
5057967342082,Wholemeal tortilla wraps,Tesco,bread,1.3,0.26639344262295084,279.0,3.28,5.25,0.885,,b
3029330004240,Fines Tartines farine de Seigle,Jacquet,bread,2.8,0.5599999999999999,224.0,3.8,1.6,1.2,,b
3017760771894,Biscotte gout brioche heudebert,LU,bread,1.95,0.6724137931034483,196.0,5.4,5.0,0.5,,c
20712785,Pain de mie Grandes Tranches 7 céréales,"Maître Jean Pierre,Lidl",bread,1.62,0.29454545454545455,283.0,6.2,6.5,1.1,,c
3560070308316,Biscottes Complètes bio,Carrefour,bread,3.37,1.1233333333333333,388.0,4.9,6.3,1.3,,c
3760049794373,PAIN MIE SANDWICH BIO* COMPLET Sans sucres ajoutés 500G,Bien,bread,3.76,0.752,252.0,1.9,5.1,0.99,,a
3182180002092,Grilletine froment,"Brioche Pasquier,Pasquier",bread,2.25,0.9297520661157025,427.0,9.0,9.6,0.88,,c
3229820019208,Pain complet seigle,Bjorg,bread,4.1,0.82,198.0,4.0,1.3,1.1,,b
3564700596968,Pain de mie grandes tranches complet,"Marque Repère, Epi d'Or, Scamark (Filiale E. Leclerc)",bread,1.73,0.3145454545454545,255.0,6.2,4.8,1.1,,b
8410076472946,8 Tortillas - Blé nature,"General Mills, Old el Paso",bread,2.92,0.8957055214723927,299.0,2.1,5.2,1.0,,c
8480000823021,Pan de molde con 52% centeno,Hacendado,bread,1.47,0.20416666666666666,265.0,2.1,7.8,1.3,,a
13764027138,THIN-SLICED ORGANIC BREAD 21 WHOLE GRAINS AND SEEDS,Dave's Killer Bread,bread,7.49,1.2891566265060241,214.0,10.7,3.57,0.938,,a
5010003052949,Best of Both Bread,Hovis,bread,1.15,0.14375,232.0,3.5,1.75,0.887,,c
3228857000869,100% mie,Harrys,bread,1.79,0.358,266.0,7.7,4.2,1.1,,c
7311070032581,Krisprolls,Pagen,bread,2.0,0.8333333333333334,397.0,7.0,6.2,1.5725,,d
3182180002474,Pain grillé,Brioche Pasquier,bread,2.16,,403.0,3.3,6.6,1.3,,c
7622210941480,Heudebert Blé complet,Heudebert,bread,2.47,0.8821428571428572,387.0,7.4,4.7,1.43,,c
3560071472719,Maxi tranches complet,"Carrefour, Carrefour-classic",bread,1.44,0.2618181818181818,282.0,4.8,4.7,1.1,,c
3041090063152,cracotte,lu,bread,1.73,0.692,389.0,12.0,2.6,1.4,,d
3228857001347,Harrys brioche tranchee pepites de chocolat sans additif 485g,Harry's,bread,3.79,0.7814432989690723,357.0,17.0,13.0,0.65,,d
5010092736812,Allinson's Scandalous Seeds Wholemeal,Allinson's,bread,1.6,0.24615384615384617,268.0,2.5,9.0,0.75,,a
7311070032574,"Golden Wheat Swedish Krisprolls, 7.9oz (225g)",Pagen,bread,2.21,0.9208333333333334,432.0,9.5,10.0,0.66,,c
